"","msg_id","ts","user","type","text","reply_count","reply_users_count","ts_latest_reply","ts_thread","parent_user_id","channel"
"14",NA,"1621262026.042800","U0203USKJRE","message","In nimble we support model-definition-time if-then-else statements.  What that means is that you can use if-then-else where the if condition uses a variable (or expression) evaluated in your *R environment* to decide which piece of code to include in the model definition.  It does not create if-then-else in the model, but rather creates different models depending on the if-then-else condition.  It would be cumbersome for many model variants but can be a handy way to support a few variants in the same model source code.",1,1,"1621262064.043300",NA,NA,"questions-5-survival-estimation"
"15",NA,"1621262049.042900","U022RRJ8KLY","message","Field work is life! Good for him!",NA,NA,NA,"1621261289.029400","U01ULDNCVKP","questions-5-survival-estimation"
"16",NA,"1621262064.043300","U0203USKJRE","message","Oh sorry, this was a reply to <@U020081M3D4> but I forgot to click ""reply in thread"".",NA,NA,NA,"1621262026.042800","U0203USKJRE","questions-5-survival-estimation"
"17",NA,"1621262070.043500","U01ULDNCVKP","message","Yes, you could define gamma and omega individual- and time-specific, and do the same in the likelihood. By doing so, you'd have to change just the parameters as you see fit. The thing is that by doing that, you have to keep big arrays along the way, which makes calculations slower. <@U0203USKJRE> has probablement comments on that.",NA,NA,NA,"1621261807.038700","U020081M3D4","questions-5-survival-estimation"
"18",NA,"1621262113.043700","U01ULDNCVKP","message","Yes, we'll see an example later on. This is a situation where the beta distribution is useful.",NA,NA,NA,"1621262021.042600","U021RJQBBGS","questions-5-survival-estimation"
"19",NA,"1621262148.043900","U01ULDNCVKP","message","<@U0203USKJRE> says <https://workshoponbay-5ln5595.slack.com/archives/C01U8NUE06T/p1621262026042800>",NA,NA,NA,"1621261807.038700","U020081M3D4","questions-5-survival-estimation"
"20",NA,"1621262206.044900","U01ULDNCVKP","message","n.eff = effective sample size",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"21",NA,"1621262516.047800","U0221NMLRKL","message","How's model selection when we model with random effects? Does model selection lose sense at all then?",2,2,"1621262879.051000",NA,NA,"questions-5-survival-estimation"
"22",NA,"1621262530.048100","U0203USKJRE","message","Calculating WAIC without monitoring latent states, so the WAIC uses Monte Carlo over the latent states, is under development.  This highlights that WAIC is not just one thing but depends on the level of the model.",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"23",NA,"1621262595.048600","U020J4MDZU0","message","Not sure if this will come up later but how would you code for variation in Phi/p for specific occasions? e.g. for an oil spill year where you know there will be an effect on survival?",11,2,"1621327096.084000",NA,NA,"questions-5-survival-estimation"
"24",NA,"1621262795.048900","U0203USKJRE","message","I think it's a complicated topic.  From a Bayesian perspective, one can do model selection at different levels of the model.  Model selection conditioning on random effects may not necessarily make sense for choosing variables at a higher level of the model, and vice-versa, for example.  Here is one article that may be of interest: <https://link.springer.com/article/10.1007/s11222-013-9416-2>",NA,NA,NA,"1621262516.047800","U0221NMLRKL","questions-5-survival-estimation"
"25",NA,"1621262869.050800","U021GG5HHMH","message","Checking, out of curiosity - I guess I should know this having heard about this data set so many times but hey - in the dipper data wing length is measured when (since wing length would change over the life time of the animals?)",4,3,"1621264449.066800",NA,NA,"questions-5-survival-estimation"
"26",NA,"1621262879.051000","U0221NMLRKL","message","Thanks, Perry!",NA,NA,NA,"1621262516.047800","U0221NMLRKL","questions-5-survival-estimation"
"27",NA,"1621262889.051400","U021YD0USER","message","Is overdispersion (the ominous c-hat) an issue with Bayesian estimates?",2,2,"1621263454.059200",NA,NA,"questions-5-survival-estimation"
"28",NA,"1621262921.051700","U01UMBR0K38","message","For a case like this, the best would be to make a dummy variable that takes 0 in all years without oil spill, and 1 in years with oil spill. You can then include this like any other covariate.",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"29",NA,"1621262977.052300","U01UMBR0K38","message","If you need more than 2 levels (i.e. on/off), you can still make a variable with integer entries representing different levels, but could then estimate intercepts specific to the different index levels.",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"30",NA,"1621263006.052500","U01ULDNCVKP","message","Haha, I simulated this covariate for the purpose of illustration. Otherwise, you're right and we get time-varying individual covariate for which we need to do something for individuals that are not captured.",NA,NA,NA,"1621262869.050800","U021GG5HHMH","questions-5-survival-estimation"
"31",NA,"1621263099.053100","U021GG5HHMH","message","aha - many thanks!",NA,NA,NA,"1621262869.050800","U021GG5HHMH","questions-5-survival-estimation"
"32",NA,"1621263119.053600","U01ULDNCVKP","message","More soon on time-varying individual covariate.",NA,NA,NA,"1621262869.050800","U021GG5HHMH","questions-5-survival-estimation"
"33",NA,"1621263154.053900","U020J4MDZU0","message","Thank you - I'll have a go! Sorry if this is a silly question but just to confirm you using the phrase dummy variable which do you specifically mean? You mention on/off is this related to detected/non-detected or another matrix (e.g omega)?",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"34",NA,"1621263178.054100","U01UMBR0K38","message","I'll write it as an example. Check back later :wink:",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"35",NA,"1621263224.054700","U020J4MDZU0","message","Thank you! Sorry I've been working with a complicated dataset in Mark so know how to do things there but trying to make sure I get how Nimble accepts it!",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"36",NA,"1621263274.056100","U0220681GLS","message","On a similar note. Should we look at goodness of fit of the dataset prior to the analysis?",1,1,"1621263304.056700",NA,NA,"questions-5-survival-estimation"
"37",NA,"1621263285.056200","U021W75J75L","message","Does it matter if the population is open or closed?",1,1,"1621263517.060900",NA,NA,"questions-5-survival-estimation"
"38",NA,"1621263304.056700","U01ULDNCVKP","message","Yes, more about that tomorrow.",NA,NA,NA,"1621263274.056100","U0220681GLS","questions-5-survival-estimation"
"39",NA,"1621263323.057100","U022EA0060H","message","Ironically just got briefly distracted by the capture and marking part of capture-mark-recapture/resighting! Woodpigeon (Columba palumbus) freshly ringed by my partner with colour ring white CH added for a BTO retrapping adults for survival (RAS) study. As its easier to add the colour ring with 2 people, there are now feathers in my home office...",6,5,"1621264480.067300",NA,NA,"questions-5-survival-estimation"
"40",NA,"1621263336.057400","U01UXJ46T6W","message","In this kind of models, we do not need to re-sample the same spots (camera-sttations, etc) over the years/seasons, right?",6,3,"1621333241.110700",NA,NA,"questions-5-survival-estimation"
"41",NA,"1621263426.058400","U01ULDNCVKP","message","It's a general issue I guess, often caused by non-independence among individuals, which you can address with appropriate distribution (e.g. negative bin vs poisson) or random effects. We'll briefly talk about goodness-of-fit tests tomorrow.",NA,NA,NA,"1621262889.051400","U021YD0USER","questions-5-survival-estimation"
"42",NA,"1621263454.059200","U021YD0USER","message","Cool, thanks!",NA,NA,NA,"1621262889.051400","U021YD0USER","questions-5-survival-estimation"
"43",NA,"1621263460.059500","U021NFFDJAX","message","jealous :rolling_on_the_floor_laughing:",NA,NA,NA,"1621263323.057100","U022EA0060H","questions-5-survival-estimation"
"44",NA,"1621263468.059800","U01UMBR0K38","message","Binary example (on/off covariate, e.g. oil spill vs. no oil spill):

dummy &lt;- c(1, 0, 0, 1, 0)


In your model:

# Constraint
for(t in 1:Tmax){
  logit(phi[t]) &lt;- logit(Mu.phi) + beta*dummy[t]

}

# Priors
Mu.phi ~ dunif(0, 1)
beta ~ dunif(-5, 5)",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"45",NA,"1621263477.060000","U01UMBR0K38","message","3+ level example (categorical covariate, e.g. bad oil spill, moderate oil spill, no oil spill):

dummy &lt;- c(2, 1, 1, 3, 1)

In your model:

# Constraint
for(t in 1:Tmax){
  phi[t] &lt;- Mu.phi[dummy[t]]

}

# Priors
for(x in 1:3){
  Mu.phi[x] ~ dunif(0, 1)
}",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"46",NA,"1621263495.060400","U0228TE85EG","message","what should be the minimum dataset size to correctly run such analyses ? (number of individual histories)",3,3,"1621263761.064000",NA,NA,"questions-5-survival-estimation"
"47",NA,"1621263509.060600","U01UMBR0K38","message","I recommend checking out ""Bayesian Analysis using WinBUGS"" to get familiar with the basics of implementing different covariate effects.",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"48",NA,"1621263517.060900","U01ULDNCVKP","message","Yes, here we assume open populations, hence the estimation of survival. If your pop is closed, then you may assume survival is 1 :slightly_smiling_face:",NA,NA,NA,"1621263285.056200","U021W75J75L","questions-5-survival-estimation"
"49",NA,"1621263572.061600","U01ULDNCVKP","message","Tempted to use this picture as the cover of our website. Meta-capture-recapture :slightly_smiling_face:",NA,NA,NA,"1621263323.057100","U022EA0060H","questions-5-survival-estimation"
"50",NA,"1621263618.062600","U01UMBR0K38","message","This depends on the model and on the number of years you surveyed for (in addition to number of individuals). There is no simple guideline here. You need to try it out. If you are fitting a way too complex model for your amount of data, you will not get convergence/good estimates.

That then means you need to simplify your model.
In general, it's usually best to start with a simple model, and build complexity stepwise.",NA,NA,NA,"1621263495.060400","U0228TE85EG","questions-5-survival-estimation"
"51",NA,"1621263620.062800","U01ULDNCVKP","message","Yes, resampling is key to separate non-detection from actual death.",NA,NA,NA,"1621263336.057400","U01UXJ46T6W","questions-5-survival-estimation"
"52",NA,"1621263626.063000","U0222M1S8SE","message","Is WAIC also a recommended procedure for deciding to include covariates (e.g. sex, age, other individual characteristics) in survival models?",2,2,"1621264009.065100",NA,NA,"questions-5-survival-estimation"
"53",NA,"1621263668.063200","U0228TE85EG","message",":+1:",NA,NA,NA,"1621263495.060400","U0228TE85EG","questions-5-survival-estimation"
"54",NA,"1621263734.063500","U01UXJ46T6W","message","I mean, do i have to re-sample the same specific habitat/area/sampling station? or just if i have a re-capture (no matter if i re-sampled different spots next season) in a different spots with different sampling effort/sampling design?",NA,NA,NA,"1621263336.057400","U01UXJ46T6W","questions-5-survival-estimation"
"55",NA,"1621263760.063800","U021MSK4PPH","message","Is: from field work to real data to theory and statistics, perfect illustration! I have never introduced a computer or a model to a kittiwake. Computers lack salt (according to seabirds).",NA,NA,NA,"1621263323.057100","U022EA0060H","questions-5-survival-estimation"
"56",NA,"1621263761.064000","U01ULDNCVKP","message","You may use simulations to investigate and get an idea of statistical power to detect some effects or the precision of your estimates.",NA,NA,NA,"1621263495.060400","U0228TE85EG","questions-5-survival-estimation"
"57",NA,"1621263766.064200","U0203USKJRE","message","Yes, I think variable selection is viewed as a particular kind of model selection.  Note that for Bayesian variable selection, the so-called indicator variable method is an option, and nimble provides ""reversible jump MCMC"" samplers, which is a fancy way to say it can handle that approach well.",NA,NA,NA,"1621263626.063000","U0222M1S8SE","questions-5-survival-estimation"
"58",NA,"1621263897.064800","U022EA0060H","message","Ha I would have got a better picture but I was still trying to pay attention to what <@U01UDBUETM5> was saying!",NA,NA,NA,"1621263323.057100","U022EA0060H","questions-5-survival-estimation"
"59",NA,"1621264009.065100","U01UMBR0K38","message","It's important to keep in mind that WAIC (just like any other whatever-IC, p-value, etc.) is not a panacea. Making mindless binary decisions based on one metric or another is always a bad idea.

Before fitting any covariates, think carefully about what you would expect to have an effect (based on biology, sampling regimes, etc.). Fit that model and check the posteriors for your effect. The degree to which your effect posterior overlaps with 0 will tell you how much evidence there is for this effect.",NA,NA,NA,"1621263626.063000","U0222M1S8SE","questions-5-survival-estimation"
"60",NA,"1621264089.065300","U020J4MDZU0","message","Fab - thank you again, I'll have a go with testing that out and yes, actually get a copy of the book rather than sneak a peak of my colleagues copy!",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"61",NA,"1621264184.065700","U01ULDNCVKP","message","Oops, sorry. Yes, you need to resample the same station. If you change the sampling design (increasing the sampling area for example) then things you get a different population under sampling. Different sampling effort (less people doing the recaptures some years for example) can be accounted for in the detection process by having time variation, and possibly a covariate to explain time variation. I hope it answers better your question :slightly_smiling_face:",NA,NA,NA,"1621263336.057400","U01UXJ46T6W","questions-5-survival-estimation"
"62",NA,"1621264221.065900","U01UMBR0K38","message","Technically, you do not need to re-sample the exactly same location. However, if your sampling locations and effort changed, you have to incorporate this into detection/recapture probability (i.e. you need time-dependence). Additionally, if you changed locations, think carefully about what this means for your survival and detection estimates. Survival is always confounded with emigration (unless you model them separately with appropriate data and study/model design), and if you change locations, that may introduce bias.",NA,NA,NA,"1621263336.057400","U01UXJ46T6W","questions-5-survival-estimation"
"63",NA,"1621264321.066600","U01UMBR0K38","message","You won't regret getting that book :wink:",NA,NA,NA,"1621262595.048600","U020J4MDZU0","questions-5-survival-estimation"
"64",NA,"1621264449.066800","U022EA0060H","message","Not the case here if <@U01ULDNCVKP> has simulated the values but in real data wing length could be used to sex this species. How much bird wing length changes over an individual's life varies quite a lot between species and isn't well studied as far as I know...",NA,NA,NA,"1621262869.050800","U021GG5HHMH","questions-5-survival-estimation"
"65",NA,"1621264454.067000","U01UDBUETM5","message","I love the picture thanks for sharing ! Theory and practice finally re-united :slightly_smiling_face:",NA,NA,NA,"1621263323.057100","U022EA0060H","questions-5-survival-estimation"
"66",NA,"1621264480.067300","U01UDBUETM5","message","Some are lucky (you) and others are less (me - 1 day of fieldwork in the last 3 years...)",NA,NA,NA,"1621263323.057100","U022EA0060H","questions-5-survival-estimation"
"67",NA,"1621265022.068600","U021NFFDJAX","message","This lovely seemed to know I was jealous of you <@U022EA0060H> :stuck_out_tongue_closed_eyes:",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"68",NA,"1621265058.069000","U022EA0060H","message","Ha excellent <@U021NFFDJAX>!",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"69",NA,"1621265093.069600","U01ULDNCVKP","message","Keep these pix coming :hugging_face::star-struck:",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"70",NA,"1621269844.070800","U022FDT7YU9","message","Thanks for the presentation Sarah, can the same methods be used in Resource Selection Functions using Generalised Linear Mixed Models.. your examples are mostly based on binary data (0, 1)..",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"71",NA,"1621321363.001700","U0222N7JBPC","message","As I have experts at hand...I have a question :grin: basic CMR makes a closure assumption. But what if the population is exposed to immigration only (e.g. a park where animals can be introduced). As animals enter the analysis at first encounter, does this mean that CMR estimates of survival and detection prob are unbiased?  Can this question enters the competition for the best stupid question of the day?",4,3,"1621321722.003000",NA,NA,"questions-5-survival-estimation"
"72",NA,"1621321494.001900","U01UMBR0K38","message","Good morning! Assuming that there is only immigration, no emigration, CMR estimates of survival and recapture probability will not be affected. That is because CMR models typically condition on first capture.",NA,NA,NA,"1621321363.001700","U0222N7JBPC","questions-5-survival-estimation"
"73",NA,"1621321548.002200","U01UXJ46T6W","message","Thanks for both :slightly_smiling_face: <@U01ULDNCVKP> <@U01UMBR0K38>",NA,NA,NA,"1621263336.057400","U01UXJ46T6W","questions-5-survival-estimation"
"74",NA,"1621321552.002400","U01ULDNCVKP","message","Too early for me :sleeping:",NA,NA,NA,"1621321363.001700","U0222N7JBPC","questions-5-survival-estimation"
"75",NA,"1621321553.002600","U01UMBR0K38","message","In your case, it may be worth thinking about whether number of immigrants and/or population density could affect survival or catchability (biologically) though :wink:",NA,NA,NA,"1621321363.001700","U0222N7JBPC","questions-5-survival-estimation"
"76",NA,"1621321722.003000","U0222N7JBPC","message","Ouah, a reply in less that one minute (from awake-experts)!!! Thanks Chloé. And good point about true biological effects of increased density.",NA,NA,NA,"1621321363.001700","U0222N7JBPC","questions-5-survival-estimation"
"77",NA,"1621322080.006400","U021VPQ5AMC","message","Good morning :slightly_smiling_face: So, Sarah is showing us to model a parameter (phi) as a function of covariates. There is no error parameter in the regression, what about that?",1,1,"1621322244.008500",NA,NA,"questions-5-survival-estimation"
"78",NA,"1621322123.007200","U01UMBR0K38","message","*""More of a comment than a question"":* 

Personally, I always specify time-dependence on e.g. survival using the link function (logit) twice:

logit(phi[t]) &lt;- *logit(Mu.phi)* + beta * flow [t]

The advantage is that Mu.phi then is the ""average survival probability"" and giving it a Uniform(0, 1) prior as we did so far is still possible.",2,2,"1621322472.012000",NA,NA,"questions-5-survival-estimation"
"79",NA,"1621322244.008500","U01ULDNCVKP","message","Good morning :sleeping: You're correct, we're assuming that temporal variation in survival is fully explained by water flow. Easy though to add a time random effect and account for non explained variation, wait for it :wink:",NA,NA,NA,"1621322080.006400","U021VPQ5AMC","questions-5-survival-estimation"
"80",NA,"1621322266.009000","U022FA345J5","message","in the line logit(phi(t)) etc is there possibility to include an offset in the right part, as in R GLM ?",5,2,"1621323263.021100",NA,NA,"questions-5-survival-estimation"
"81",NA,"1621322365.009300","U022EA0060H","message","Thanks, I was going to ask something along those lines having used jags to make similar models!",NA,NA,NA,"1621322123.007200","U01UMBR0K38","questions-5-survival-estimation"
"82",NA,"1621322406.010200","U01UMBR0K38","message","Technically, you can do whatever you like on the right side. I do not really see the sense in adding some arbitrary offset, however.

This is a different story of course if you include intercept-offsets based on categorical covariates. That can make sense.",NA,NA,NA,"1621322266.009000","U022FA345J5","questions-5-survival-estimation"
"83",NA,"1621322453.011500","U021VKN37C4","message","once the models are fitted, how can we make predictions?",4,2,"1621336012.114700",NA,NA,"questions-5-survival-estimation"
"84",NA,"1621322461.011800","U0205U97A64","message","In the initial values code:
initial.values &lt;- *function*() list(beta = rnorm(2,0,1)

We draw 2 values because we need one value for each beta? And if we had defined a model also for detection rate, and therefore had more betas, would we draw more values here?",1,1,"1621322517.012400",NA,NA,"questions-5-survival-estimation"
"85",NA,"1621322472.012000","U01UMBR0K38","message","Yes I always do it this way, not just with survival probabilities. Makes book-keeping much easier, especially with large models :wink:",NA,NA,NA,"1621322123.007200","U01UMBR0K38","questions-5-survival-estimation"
"86",NA,"1621322517.012400","U01UMBR0K38","message","Yes, you will need as many values as beta has index values inside your model.",NA,NA,NA,"1621322461.011800","U0205U97A64","questions-5-survival-estimation"
"87",NA,"1621322769.013600","U022FA345J5","message","I was thinking to an ""explanatory"" factor like sampling effort. We could not be interested by estimating the coeff but we have to account for it in the model. No ?",NA,NA,NA,"1621322266.009000","U022FA345J5","questions-5-survival-estimation"
"88",NA,"1621322841.014200","U01UMBR0K38","message","You can make predictions using the parameter estimates you obtain and the equations as described in your model.

For example, let's say you estimates survival in your model as in the example:

logit(phi[t]) &lt;- beta[1] + beta[2]*flow[t]

You get posterior distributions for betat[1] and beta[2]. So in R, you can then simulate whatever flow values you want to make predictions for. Let's call this vector flow.sim. It has X elements. Prediction then goes analogous to the equation in your model:

for(x in 1:X){
  phi[x] &lt;- plogis(beta[1] + beta[2]*flow.sim[x])
}

(plogis() is the inverse of the logit)",NA,NA,NA,"1621322453.011500","U021VKN37C4","questions-5-survival-estimation"
"89",NA,"1621322884.014700","U01UMBR0K38","message","Ideally, you are going to make the prediction above for each sample in your posterior distribution. That way, you also get a posterior distribution for your prediction (= uncertainty).",NA,NA,NA,"1621322453.011500","U021VKN37C4","questions-5-survival-estimation"
"90",NA,"1621323023.016400","U021UUYTE85","message","For the random effect using Nimble, is it still correct to specifify it using ""tau"" (instead of directly ""sd"") ?",4,3,"1621323495.028700",NA,NA,"questions-5-survival-estimation"
"91",NA,"1621323061.017500","U01UMBR0K38","message","Yes, that still works. The default is still tau, but you can do standard deviation instead by writing ""sd = ....""",NA,NA,NA,"1621323023.016400","U021UUYTE85","questions-5-survival-estimation"
"92",NA,"1621323077.018000","U021UUYTE85","message","ok, thanks!",NA,NA,NA,"1621323023.016400","U021UUYTE85","questions-5-survival-estimation"
"93",NA,"1621323098.018900","U020D3400HW","message","I think that I didn't get it. When you refer to a 'random effect', is it in the same way as we refer to random effects on linear mixed models? Or it has a different definition? I think I mixed things around :sweat_smile:",1,1,"1621323397.025300",NA,NA,"questions-5-survival-estimation"
"94",NA,"1621323176.019700","U01UMBR0K38","message","So this depends on whether or not you have data on sampling effort. If you have not measured it but have to assume it varied over time (= a nuisance parameter), then you include it as a random effect as <@U01UDBUETM5> has been explaining just now.",NA,NA,NA,"1621322266.009000","U022FA345J5","questions-5-survival-estimation"
"95",NA,"1621323215.020300","U01UMBR0K38","message","If you have measured sampling effort, you would still include it as either a continuous or categorical covariate. You will estimate a coefficient, even if you are not interested in it.",NA,NA,NA,"1621322266.009000","U022FA345J5","questions-5-survival-estimation"
"96",NA,"1621323263.021100","U01UMBR0K38","message","No discrimination of coefficients!!!:stuck_out_tongue_winking_eye::no_entry_sign:",NA,NA,NA,"1621322266.009000","U022FA345J5","questions-5-survival-estimation"
"97",NA,"1621323292.021500","U01ULDNCVKP","message","Besides being more natural imho, the ""sd = "" parametrization is quite useful to use non-centering a trick to improve convergence, more in the live demo to follow.",NA,NA,NA,"1621323023.016400","U021UUYTE85","questions-5-survival-estimation"
"98",NA,"1621323352.023800","U0228RFP1V2","message","Stupid question ... there is no ""probit"" function already defined in Nimble?",3,2,"1621323456.027900",NA,NA,"questions-5-survival-estimation"
"99",NA,"1621323375.024500","U0225K54L7K","message","presumably you can do this directly in NIMBLE (analogous to JAGS), by feeding your flow.sim vector (for example) in as data to the model? Thus you get the posterior distributions as model output",NA,NA,NA,"1621322453.011500","U021VKN37C4","questions-5-survival-estimation"
"100",NA,"1621323390.024900","U01UMBR0K38","message","Looks like there is. See manual: <https://r-nimble.org/manuals/NimbleUserManual.pdf>",NA,NA,NA,"1621323352.023800","U0228RFP1V2","questions-5-survival-estimation"
"101",NA,"1621323397.025300","U01ULDNCVKP","message","Same random effect as in (G)LMM yes.",NA,NA,NA,"1621323098.018900","U020D3400HW","questions-5-survival-estimation"
"102",NA,"1621323414.026200","U01UMBR0K38","message","If there was not, you could easily define it as a nimbleFunction, that you could then include in your CMR model :wink:",NA,NA,NA,"1621323352.023800","U0228RFP1V2","questions-5-survival-estimation"
"103",NA,"1621323446.027600","U021NFFDJAX","message","Right, this is possible a stupid question, but it's a nightmare when running models. What about if you don't have the sex of all individuals? will the model still run or you need to add something like na.action = na.exclude?",8,3,"1621340259.116100",NA,NA,"questions-5-survival-estimation"
"104",NA,"1621323453.027800","U02041USZ96","message","Does including the back-transformation lines within the model notably increase running time? Maybe with more than just 2 parameters to back transform",2,2,"1621324097.037600",NA,NA,"questions-5-survival-estimation"
"105",NA,"1621323456.027900","U0228RFP1V2","message","Thanks :smiley:",NA,NA,NA,"1621323352.023800","U0228RFP1V2","questions-5-survival-estimation"
"106",NA,"1621323469.028300","U022FB58ZNV","message","I can't seem to be able to load the dipper dataset. In which package is it supposed to be?",12,4,"1621328161.094800",NA,NA,"questions-5-survival-estimation"
"107",NA,"1621323495.028700","U021UUYTE85","message","Yes, sd is easier to interpret than tau :)",NA,NA,NA,"1621323023.016400","U021UUYTE85","questions-5-survival-estimation"
"108",NA,"1621323524.029200","U021GG5HHMH","message","Slow start with no coffee :exploding_head: and coming late to the party. Can someone remind me what the line below (slide 192 with the model hmm.phiflowp) is doing? It sets the z's per animal - but what are the z's again (state, dead or alive?)? The loop sets the first time first[i] that animal i animal was seen to 2? Consider animal 1, and first[1] is 3, i.e. animal first seen at time point 3. A bit confused where we define the initial value of say z[1,2] and z[1,4]?",14,2,"1621329398.100900",NA,NA,"questions-5-survival-estimation"
"109",NA,"1621323684.030600","U01UMBR0K38","message","For this one, it's important to think a bit practical first. If only a very small, random set of animals are missing sex, the pragmatic solution is to just exclude non-sexed individuals from analyses.",NA,NA,NA,"1621323446.027600","U021NFFDJAX","questions-5-survival-estimation"
"110",NA,"1621323696.031000","U021W7G8Y14","message","I quite like the beta[sex[i]] ~ uniform(0, 1) shortcut. Thanks, Sarah :slightly_smiling_face:",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"111",NA,"1621323744.031100","U01ULDNCVKP","message","Not notably I think. You could benchmark it :slightly_smiling_face:",NA,NA,NA,"1621323453.027800","U02041USZ96","questions-5-survival-estimation"
"112",NA,"1621323756.031500","U01UMBR0K38","message","If animals in one life stage are often missing sex (one common one is chicks/pups that cannot be sexed before they are adults), then you may want to include a sex ratio in your transition probabilities (more on multistate models in the next session).",NA,NA,NA,"1621323446.027600","U021NFFDJAX","questions-5-survival-estimation"
"113",NA,"1621323888.032300","U01UQ29DG3C","message","you can download the dataset here: <https://oliviergimenez.github.io/bayesian-cr-workshop/> (in live demos)",NA,NA,NA,"1621323469.028300","U022FB58ZNV","questions-5-survival-estimation"
"114",NA,"1621323897.032600","U01UMBR0K38","message","If a large junk of animals across the dataset are missing sex AND you know that sex has a strong impact on survival and/or recapture rate, then you can treat sex as a ""partially observed covariate"".

If you do that, you pass your sex vector including the NA values and you have to specify a likelihood for sex assignment (likely involving a binomial or multinomial likelihood and a sex ratio). Note that any NA data values need initial values.",NA,NA,NA,"1621323446.027600","U021NFFDJAX","questions-5-survival-estimation"
"115",NA,"1621323901.032800","U021NFFDJAX","message","The problem is that if you are testing several covariates, if you remove all the ones with missing values you end up without data :slightly_frowning_face:",NA,NA,NA,"1621323446.027600","U021NFFDJAX","questions-5-survival-estimation"
